symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-04,"1,750,519",0.76
688006.SH,688006,2021-02-04,"279,197",0.25
688008.SH,688008,2021-02-04,"3,066,941",0.72
688009.SH,688009,2021-02-04,"1,114,659",0.05
688012.SH,688012,2021-02-04,"420,076",0.17
688019.SH,688019,2021-02-04,"92,431",0.30
688122.SH,688122,2021-02-04,"1,864,200",0.59
688139.SH,688139,2021-02-04,"773,368",0.42
688180.SH,688180,2021-02-04,"99,233",0.13
688185.SH,688185,2021-02-04,"88,764",0.38
688366.SH,688366,2021-02-04,"34,594",0.08
688505.SH,688505,2021-02-04,"124,302",0.12
600000.SH,600000,2021-02-04,"515,183,918",1.75
600004.SH,600004,2021-02-04,"143,757,157",6.94
600006.SH,600006,2021-02-04,"30,082",0.00
600007.SH,600007,2021-02-04,"11,120,748",1.10
600008.SH,600008,2021-02-04,"98,266,537",1.33
600009.SH,600009,2021-02-04,"241,053,851",22.04
600010.SH,600010,2021-02-04,"593,730,088",1.87
600011.SH,600011,2021-02-04,"157,038,351",1.42
600012.SH,600012,2021-02-04,"17,226,262",1.47
600015.SH,600015,2021-02-04,"281,817,044",2.19
600016.SH,600016,2021-02-04,"659,445,737",1.85
600017.SH,600017,2021-02-04,"1,699,004",0.05
600018.SH,600018,2021-02-04,"150,978,427",0.65
600019.SH,600019,2021-02-04,"1,420,040,010",6.39
600020.SH,600020,2021-02-04,"18,785,686",0.83
600021.SH,600021,2021-02-04,"22,037,980",0.93
600023.SH,600023,2021-02-04,"3,939,092",0.02
600025.SH,600025,2021-02-04,"59,136,563",0.32
600026.SH,600026,2021-02-04,"36,245,740",1.32
600027.SH,600027,2021-02-04,"83,099,043",1.02
600028.SH,600028,2021-02-04,"1,044,885,044",1.09
600029.SH,600029,2021-02-04,"636,860,121",7.85
600030.SH,600030,2021-02-04,"315,128,550",3.21
600031.SH,600031,2021-02-04,"779,813,046",9.19
600033.SH,600033,2021-02-04,"822,291",0.02
600036.SH,600036,2021-02-04,"1,171,185,117",5.67
600037.SH,600037,2021-02-04,"453,975",0.03
600038.SH,600038,2021-02-04,"13,915,688",2.36
600039.SH,600039,2021-02-04,"44,642,684",1.23
600048.SH,600048,2021-02-04,"526,254,403",4.39
600050.SH,600050,2021-02-04,"81,123,851",0.26
600053.SH,600053,2021-02-04,"6,130,037",1.41
600054.SH,600054,2021-02-04,"1,143,780",0.22
600056.SH,600056,2021-02-04,"11,722,515",1.09
600057.SH,600057,2021-02-04,"29,452,175",1.36
600058.SH,600058,2021-02-04,"118,659",0.01
600059.SH,600059,2021-02-04,"217,608",0.02
600060.SH,600060,2021-02-04,"8,194,037",0.62
600061.SH,600061,2021-02-04,"43,580,054",1.03
600062.SH,600062,2021-02-04,"33,509,517",3.21
600063.SH,600063,2021-02-04,"1,551,641",0.08
600064.SH,600064,2021-02-04,"1,159,414",0.09
600066.SH,600066,2021-02-04,"168,003,791",7.58
600067.SH,600067,2021-02-04,"973,373",0.06
600068.SH,600068,2021-02-04,"72,772,650",1.58
600070.SH,600070,2021-02-04,"3,769,298",0.72
600072.SH,600072,2021-02-04,"2,746,041",0.37
600073.SH,600073,2021-02-04,"5,991,680",0.63
600075.SH,600075,2021-02-04,"33,911",0.00
600077.SH,600077,2021-02-04,249,0.00
600078.SH,600078,2021-02-04,"6,215",0.00
600079.SH,600079,2021-02-04,"37,062,212",2.73
600081.SH,600081,2021-02-04,"260,608",0.08
600085.SH,600085,2021-02-04,"7,103,403",0.51
600086.SH,600086,2021-02-04,"1,827",0.00
600088.SH,600088,2021-02-04,"189,696",0.04
600089.SH,600089,2021-02-04,"62,443,252",1.68
600093.SH,600093,2021-02-04,"4,053,088",0.36
600094.SH,600094,2021-02-04,"50,247,713",2.20
600096.SH,600096,2021-02-04,"203,687",0.01
600098.SH,600098,2021-02-04,"1,031,363",0.03
600100.SH,600100,2021-02-04,"2,273,965",0.07
600101.SH,600101,2021-02-04,"30,597",0.00
600104.SH,600104,2021-02-04,"516,425,435",4.42
600105.SH,600105,2021-02-04,"1,736,130",0.12
600106.SH,600106,2021-02-04,"1,843,320",0.13
600108.SH,600108,2021-02-04,"268,448",0.01
600109.SH,600109,2021-02-04,"64,900,978",2.14
