symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-01,"2,238,442",0.97,102.100
688006.SH,688006,2021-03-01,"535,192",0.49,73.520
688008.SH,688008,2021-03-01,"7,434,845",1.76,76.210
688009.SH,688009,2021-03-01,"10,302,657",0.51,5.840
688012.SH,688012,2021-03-01,"934,290",0.37,128.800
688019.SH,688019,2021-03-01,"182,591",0.60,279.180
688122.SH,688122,2021-03-01,"2,870,964",0.91,61.900
688139.SH,688139,2021-03-01,"1,252,048",0.68,76.680
688180.SH,688180,2021-03-01,"2,349,477",3.16,102.130
688185.SH,688185,2021-03-01,"187,170",0.76,499.070
688366.SH,688366,2021-03-01,"140,333",0.35,110.800
688505.SH,688505,2021-03-01,"237,239",0.24,15.840
600000.SH,600000,2021-03-01,"495,071,391",1.68,10.580
600004.SH,600004,2021-03-01,"184,721,585",8.92,13.490
600006.SH,600006,2021-03-01,"25,682",0.00,7.090
600007.SH,600007,2021-03-01,"11,683,787",1.15,12.140
600008.SH,600008,2021-03-01,"106,052,969",1.44,2.940
600009.SH,600009,2021-03-01,"190,262,187",17.39,61.180
600010.SH,600010,2021-03-01,"703,139,815",2.21,1.690
600011.SH,600011,2021-03-01,"137,193,877",1.24,4.050
600012.SH,600012,2021-03-01,"17,334,107",1.48,6.260
600015.SH,600015,2021-03-01,"260,201,873",2.02,6.250
600016.SH,600016,2021-03-01,"672,093,758",1.89,5.170
600017.SH,600017,2021-03-01,"1,697,004",0.05,2.760
600018.SH,600018,2021-03-01,"182,101,505",0.78,4.830
600019.SH,600019,2021-03-01,"1,520,658,135",6.84,8.040
600020.SH,600020,2021-03-01,"22,609,150",1.00,3.260
600021.SH,600021,2021-03-01,"20,993,008",0.89,6.790
600023.SH,600023,2021-03-01,"3,938,592",0.02,3.500
600025.SH,600025,2021-03-01,"44,451,652",0.24,4.430
600026.SH,600026,2021-03-01,"35,356,577",1.29,6.330
600027.SH,600027,2021-03-01,"81,711,548",1.00,3.210
600028.SH,600028,2021-03-01,"1,134,555,547",1.18,4.570
600029.SH,600029,2021-03-01,"666,296,603",8.21,6.180
600030.SH,600030,2021-03-01,"315,227,673",3.21,25.620
600031.SH,600031,2021-03-01,"804,161,110",9.48,44.250
600033.SH,600033,2021-03-01,"819,091",0.02,2.630
600036.SH,600036,2021-03-01,"1,185,574,271",5.74,50.390
600037.SH,600037,2021-03-01,"453,875",0.03,8.350
600038.SH,600038,2021-03-01,"11,691,336",1.98,53.070
600039.SH,600039,2021-03-01,"42,121,845",1.16,5.220
600048.SH,600048,2021-03-01,"526,920,618",4.40,16.080
600050.SH,600050,2021-03-01,"79,273,595",0.25,4.480
600053.SH,600053,2021-03-01,"6,741,648",1.55,17.360
600054.SH,600054,2021-03-01,"1,142,780",0.22,10.980
600056.SH,600056,2021-03-01,"12,818,089",1.20,13.880
600057.SH,600057,2021-03-01,"39,132,582",1.83,6.110
600058.SH,600058,2021-03-01,"118,659",0.01,8.350
600059.SH,600059,2021-03-01,"217,608",0.02,11.710
600060.SH,600060,2021-03-01,"8,086,837",0.61,13.500
600061.SH,600061,2021-03-01,"46,860,617",1.10,12.260
600062.SH,600062,2021-03-01,"35,940,368",3.44,11.690
600063.SH,600063,2021-03-01,"1,550,641",0.08,4.650
600064.SH,600064,2021-03-01,"1,159,414",0.09,10.020
600066.SH,600066,2021-03-01,"166,274,817",7.51,15.940
600067.SH,600067,2021-03-01,"973,373",0.06,3.690
600068.SH,600068,2021-03-01,"93,981,675",2.04,6.810
600070.SH,600070,2021-03-01,"9,134,712",1.75,7.300
600072.SH,600072,2021-03-01,"3,183,732",0.43,11.570
600073.SH,600073,2021-03-01,"6,567,941",0.70,8.760
600075.SH,600075,2021-03-01,"33,911",0.00,7.210
600077.SH,600077,2021-03-01,249,0.00,2.700
600078.SH,600078,2021-03-01,"6,215",0.00,3.840
600079.SH,600079,2021-03-01,"25,046,496",1.85,29.300
600081.SH,600081,2021-03-01,"260,608",0.08,12.150
600085.SH,600085,2021-03-01,"6,637,013",0.48,27.000
600086.SH,600086,2021-03-01,27,0.00,0.190
600088.SH,600088,2021-03-01,"189,696",0.04,9.960
600089.SH,600089,2021-03-01,"61,007,754",1.64,12.450
600093.SH,600093,2021-03-01,"8,037,488",0.71,8.190
600094.SH,600094,2021-03-01,"52,555,002",2.30,3.910
600096.SH,600096,2021-03-01,"203,687",0.01,8.840
600098.SH,600098,2021-03-01,"1,031,363",0.03,5.750
600100.SH,600100,2021-03-01,"2,273,965",0.07,5.830
600101.SH,600101,2021-03-01,"30,597",0.00,5.290
600104.SH,600104,2021-03-01,"481,525,703",4.12,21.220
600105.SH,600105,2021-03-01,"1,736,130",0.12,3.410
600106.SH,600106,2021-03-01,"1,843,320",0.13,2.610
600108.SH,600108,2021-03-01,"264,248",0.01,2.850
600109.SH,600109,2021-03-01,"93,217,922",3.08,12.940
600110.SH,600110,2021-03-01,"1,500",0.00,8.950
600111.SH,600111,2021-03-01,"89,746,395",2.47,22.760
600112.SH,600112,2021-03-01,"192,779",0.03,1.300
600113.SH,600113,2021-03-01,167,0.00,6.150
600114.SH,600114,2021-03-01,"96,717",0.01,8.860
600115.SH,600115,2021-03-01,"142,835,516",1.45,4.770
600116.SH,600116,2021-03-01,"695,304",0.07,9.070
600118.SH,600118,2021-03-01,"6,327,100",0.53,32.350
600119.SH,600119,2021-03-01,"130,051",0.04,7.070
600120.SH,600120,2021-03-01,"15,115,913",0.67,5.690
600122.SH,600122,2021-03-01,"1,942,303",0.16,1.170
600123.SH,600123,2021-03-01,"483,639",0.04,5.230
600125.SH,600125,2021-03-01,"35,613,114",2.72,5.200
600131.SH,600131,2021-03-01,"5,904,299",1.09,14.150
600132.SH,600132,2021-03-01,"33,254,509",6.87,118.300
600135.SH,600135,2021-03-01,"222,166",0.05,5.990
600136.SH,600136,2021-03-01,"1,077,373",0.22,6.440
600138.SH,600138,2021-03-01,"18,998,469",2.62,11.720
600141.SH,600141,2021-03-01,"12,241,384",1.43,13.680
600143.SH,600143,2021-03-01,"94,870,572",3.68,26.540
600150.SH,600150,2021-03-01,"10,583,865",0.64,15.670
600153.SH,600153,2021-03-01,"99,365,188",3.50,8.280
600155.SH,600155,2021-03-01,"5,330,122",0.30,11.470
600157.SH,600157,2021-03-01,"2,574,742",0.01,1.370
600158.SH,600158,2021-03-01,"193,381",0.02,11.760
600160.SH,600160,2021-03-01,"81,811,793",3.03,8.860
600161.SH,600161,2021-03-01,"20,558,025",1.63,34.800
600162.SH,600162,2021-03-01,"13,719,507",0.40,1.850
600166.SH,600166,2021-03-01,"2,978,401",0.04,3.760
600167.SH,600167,2021-03-01,"17,334,853",0.75,10.010
600168.SH,600168,2021-03-01,"94,720",0.01,6.610
600169.SH,600169,2021-03-01,"2,616,502",0.10,2.400
600170.SH,600170,2021-03-01,"180,328,739",2.02,2.960
600171.SH,600171,2021-03-01,"6,586,344",0.94,15.200
600172.SH,600172,2021-03-01,"1,187,929",0.09,2.870
600173.SH,600173,2021-03-01,"689,582",0.09,4.490
600176.SH,600176,2021-03-01,"272,623,665",7.78,23.750
