symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
00001,长和,CHEUNG KONG,EQTY,61.800,61.450,61.500,62.300,61.250,7866018,485755022,2021-05-28 16:08:22,61.800,61.900,0.350,0.5695688
00002,中电控股,CLP HOLDINGS,EQTY,80.050,79.800,79.900,80.200,79.500,4028421,322139245,2021-05-28 16:08:22,80.000,80.050,0.250,0.3132832
00003,香港中华煤气,HK & CHINA GAS,EQTY,13.660,13.640,13.620,13.660,13.580,21227904,289501608,2021-05-28 16:08:22,13.640,13.660,0.020,0.1466276
00004,九龙仓集团,WHARF HOLDINGS,EQTY,26.750,26.800,27.000,27.050,26.550,7717430,206679945,2021-05-28 16:08:24,26.750,26.800,-0.050,-0.1865672
00005,汇丰控股,HSBC HOLDINGS,EQTY,50.800,48.950,49.450,50.850,49.350,68183830,3437525827,2021-05-28 16:08:24,50.750,50.800,1.850,3.7793667
00006,电能实业,POWER ASSETS,EQTY,48.700,48.000,48.250,48.800,48.100,4155217,201737398,2021-05-28 16:08:24,48.700,48.750,0.700,1.4583333
00007,智富资源投资,HOIFU ENERGY,EQTY,0.127,0.127,0.000,0.000,0.000,0,0,2021-05-28 16:08:24,0.000,0.000,0.000,0.0000000
00008,电讯盈科,PCCW,EQTY,4.290,4.270,4.270,4.350,4.250,151905398,649702929,2021-05-28 16:08:24,4.290,4.300,0.020,0.4683841
00009,金奥国际,CHEUNG WO IHL,EQTY,0.065,0.069,0.068,0.069,0.065,18000,1212,2021-05-28 16:08:24,0.065,0.075,-0.004,-5.7971014
00010,恒隆集团,HANG LUNG GROUP,EQTY,19.220,18.960,19.200,19.220,19.020,1588000,30345343,2021-05-28 16:08:24,19.120,19.220,0.260,1.3713080
00011,恒生银行,HANG SENG BANK,EQTY,165.200,160.600,161.600,166.700,161.600,4432521,728515623,2021-05-28 16:08:24,165.100,165.200,4.600,2.8642590
00012,恒基地产,HENDERSON LAND,EQTY,37.400,37.550,37.550,37.900,37.150,4284151,160676203,2021-05-28 16:08:24,37.350,37.400,-0.150,-0.3994674
00014,希慎兴业,HYSAN DEV,EQTY,30.700,30.800,30.800,31.050,30.550,835712,25710908,2021-05-28 16:08:22,30.700,30.750,-0.100,-0.3246753
