,name,cname,symbol
0,"Apple, Inc.",苹果公司,AAPL
1,Microsoft Corp.,微软公司,MSFT
2,"Amazon.com, Inc.",亚马逊公司,AMZN
3,"Alphabet, Inc.",谷歌,GOOG
4,"Alphabet, Inc.",谷歌A类股,GOOGL
5,"Facebook, Inc.",Facebook,FB
6,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A
7,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B
8,"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM
9,"Tesla, Inc.",特斯拉,TSLA
10,Alibaba Group Holding Ltd.,阿里巴巴,BABA
11,JPMorgan Chase & Co.,摩根大通公司,JPM
12,"Visa, Inc.",维萨卡公司,V
13,Vanguard Total International Stock Index Fund,领航 国际股票 ETF,VXUS
14,Johnson & Johnson,强生公司,JNJ
15,"Walmart, Inc.",沃尔玛公司,WMT
16,NVIDIA Corp.,英伟达公司,NVDA
17,"UnitedHealth Group, Inc.",美国联合健康集团,UNH
18,Bank of America Corp.,美国银行公司,BAC
19,"Mastercard, Inc.",万事达卡公司,MA
20,"The Home Depot, Inc.",家得宝公司,HD
21,Procter & Gamble Co.,宝洁公司,PG
22,The Walt Disney Co.,沃特迪士尼公司,DIS
23,"PayPal Holdings, Inc.",PayPal,PYPL
24,ASML Holding NV,阿斯麦公司,ASML
25,Comcast Corp.,康卡斯特公司,CMCSA
26,Exxon Mobil Corp.,埃克森美孚公司,XOM
27,"Adobe, Inc.",Adobe,ADBE
28,The Coca-Cola Co.,可口可乐公司,KO
29,"Verizon Communications, Inc.",威讯通信公司,VZ
30,Intel Corp.,英特尔公司,INTC
31,Toyota Motor Corp.,丰田汽车公司,TM
32,Oracle Corp.,甲骨文公司,ORCL
33,"Cisco Systems, Inc.",思科系统公司,CSCO
34,"Netflix, Inc.",奈飞公司,NFLX
35,Pfizer Inc.,辉瑞制药公司,PFE
36,"NIKE, Inc.",耐克公司,NKE
37,"salesforce.com, inc.",赛富时公司,CRM
38,"AT&T, Inc.",美国电话电报公司,T
39,Abbott Laboratories,雅培公司,ABT
40,"PepsiCo, Inc.",百事可乐公司,PEP
41,"AbbVie, Inc.",艾伯维公司,ABBV
42,Chevron Corp.,雪佛龙公司,CVX
43,Novartis AG,诺华公司,NVS
44,"Merck & Co., Inc.",默沙东集团,MRK
45,Eli Lilly & Co.,礼来公司,LLY
46,Wells Fargo & Co.,富国银行,WFC
47,"Broadcom, Inc.",博通,AVGO
48,"United Parcel Service, Inc.",联合包裹服务公司,UPS
49,Novo Nordisk A/S,诺和诺德公司,NVO
50,BHP Group Ltd.,必和必拓,BHP
51,"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO
52,Accenture Plc,埃森哲公司,ACN
53,Danaher Corp.,丹纳赫公司,DHR
54,"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS
55,Texas Instruments Incorporated,德州仪器公司,TXN
56,McDonald's Corp.,麦当劳公司,MCD
57,Costco Wholesale Corp.,开市客公司,COST
58,Medtronic Plc,美敦力公司,MDT
59,SAP SE,SAP,SAP
60,Morgan Stanley,摩根士丹利,MS
61,AT&#38;T Inc.,AT&#38;T Inc.,TBB
62,"Citigroup, Inc.",花旗集团,C
63,Unilever Plc,联合利华PLC,UL
64,Unilever NV,联合利华,UN
65,Linde Plc,Linde Plc,LIN
66,"Honeywell International, Inc.",霍尼韦尔国际公司,HON
67,"Pinduoduo, Inc.",拼多多公司,PDD
68,"Shopify, Inc.","Shopify, Inc.",SHOP
69,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,RDS.A
70,Vanguard Mid-Cap Index Fund,领航 中盘股 ETF,VO
71,"Philip Morris International, Inc.",菲利普莫里斯国际公司,PM
72,"QUALCOMM, Inc.",高通公司,QCOM
73,BHP Group Plc,必和必拓公司,BBL
74,Anheuser-Busch InBev SA/NV,百威英博公司,BUD
